"C:\Program Files\Java\jdk-12.0.2\bin\java.exe" "-javaagent:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2018.3.4\lib\idea_rt.jar=59074:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2018.3.4\bin" -Dfile.encoding=UTF-8 -classpath C:\Users\Keval\IdeaProjects\CollectionsProjectHomework\out\production\CollectionsProjectHomework com.company.CollectionsRunner
Part II:
Total words in War and Peace: 576150
Duration: 1109 millisecndonds
'agitation' occured: 41
'aglow' occured: 3
'ago' occured: 74
'agonized' occured: 1
'agonizing' occured: 2
'agonizingly' occured: 1
'agony' occured: 4
'agrafena' occured: 6
'agree' occured: 49
'agreeable' occured: 27
'agreeably' occured: 4
'agreed' occured: 33
'agreeing' occured: 1
'agreement' occured: 25
'agrement' occured: 1
'agricultural' occured: 1
'agriculture' occured: 4
'agriculturists' occured: 1
'ague' occured: 1
'agwee' occured: 1
'ah' occured: 188
'ahahah' occured: 1
'ahead' occured: 37
'ai' occured: 3
'aid' occured: 20
'aide' occured: 48
'aided' occured: 1
'aides' occured: 16
'ailing' occured: 1
'aim' occured: 101
'aime' occured: 5
'aimed' occured: 8
'aiming' occured: 6
'aimless' occured: 4
'aimlessly' occured: 2
'aims' occured: 21
'air' occured: 135
'airiness' occured: 1
'airs' occured: 2
'airy' occured: 2
'ak' occured: 1
'akharovs' occured: 1
'akhrosimova' occured: 3
'akimbo' occured: 4
'akin' occured: 6
'akinfi' occured: 1
'alarm' occured: 31
'alarmed' occured: 13
'alarming' occured: 2
'alarms' occured: 1
'albanians' occured: 1
'album' occured: 4
'albums' occured: 4
'alcohol' occured: 1
'alders' occured: 1
'alenina' occured: 1
'alert' occured: 8
'alertly' occured: 1
'alertness' occured: 1
'alesha' occured: 1
'alexander' occured: 139
'alexanders' occured: 2
'alexandre' occured: 3
'alexeevich' occured: 41
'alexeevna' occured: 2
'alexey' occured: 1
'alexis' occured: 1
'algebra' occured: 1
'alien' occured: 11
'alienated' occured: 1
'alienating' occured: 1
'alight' occured: 3
'alighted' occured: 2
'alighting' occured: 2
'aligning' occured: 1
'alike' occured: 21
'aliment' occured: 1
'alimony' occured: 1
'aline' occured: 2
'alive' occured: 48
'all' occured: 2813
'allait' occured: 1
'allay' occured: 2
'alleged' occured: 5
'allegiance' occured: 2
'allegories' occured: 1
'allegory' occured: 1
'alley' occured: 2
'alleys' occured: 2
'allez' occured: 1
'alliance' occured: 18
'alliances' occured: 3
'allied' occured: 3
'alliee' occured: 1
'allies' occured: 14
'allons' occured: 1
'allopaths' occured: 1
'allot' occured: 1
'allotted' occured: 4
'allow' occured: 57
'allowance' occured: 4
'allowed' occured: 41
'allowing' occured: 6
'allows' occured: 4
'allude' occured: 1
'alluded' occured: 5
'alluding' occured: 7
'allured' occured: 1
'allurement' occured: 1
'allurements' occured: 1
'alluringly' occured: 1
'allusion' occured: 2
'allusions' occured: 4
'ally' occured: 6
'almighty' occured: 7
